"","genes","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype"
"1","1190002N15Rik",NA,NA,NA,NA
"2","1700012B15Rik",NA,NA,NA,NA
"3","3110043O21Rik",NA,NA,NA,NA
"4","4932438A13Rik",NA,"ENSMUSG00000037270",229227,"protein_coding"
"5","4933426M11Rik",NA,NA,NA,NA
"6","Abca1",NA,"ENSMUSG00000015243",11303,"protein_coding"
"7","Abhd13",NA,"ENSMUSG00000040396",68904,"protein_coding"
"8","Acap2",NA,"ENSMUSG00000049076",78618,"protein_coding"
"9","Adcy1",NA,"ENSMUSG00000020431",432530,"protein_coding"
"10","Afap1",NA,"ENSMUSG00000029094",70292,"protein_coding"
"11","Ago1",NA,"ENSMUSG00000041530",236511,"protein_coding"
"12","Ak3",NA,"ENSMUSG00000024782",56248,"protein_coding"
"13","Akap9",NA,"ENSMUSG00000040407",100986,"protein_coding"
"14","Akt3",NA,"ENSMUSG00000019699",23797,"protein_coding"
"15","Amot",NA,"ENSMUSG00000041688",27494,"protein_coding"
"16","Ank2",NA,"ENSMUSG00000032826",109676,"protein_coding"
"17","Ank3",NA,"ENSMUSG00000069601",11735,"protein_coding"
"18","Ankra2",NA,"ENSMUSG00000021661",68558,"protein_coding"
"19","Ankrd17",NA,"ENSMUSG00000055204",81702,"protein_coding"
"20","Antxr2",NA,"ENSMUSG00000029338",71914,"protein_coding"
"21","Ap2b1",NA,"ENSMUSG00000035152",71770,"protein_coding"
"22","Apc2",NA,"ENSMUSG00000020135",23805,"protein_coding"
"23","Aplp2",NA,"ENSMUSG00000031996",11804,"protein_coding"
"24","Arglu1",NA,"ENSMUSG00000040459",234023,"protein_coding"
"25","Arl5a",NA,"ENSMUSG00000036093",75423,"protein_coding"
"26","Arrdc3",NA,"ENSMUSG00000074794",105171,"protein_coding"
"27","Asf1b",NA,"ENSMUSG00000005470",66929,"protein_coding"
"28","Atg16l1",NA,"ENSMUSG00000026289",77040,"protein_coding"
"29","Atg4d",NA,"ENSMUSG00000002820",235040,"protein_coding"
"30","Atp2b1",NA,"ENSMUSG00000019943",67972,"protein_coding"
"31","Atp9a",NA,"ENSMUSG00000027546",11981,"protein_coding"
"32","Atrn",NA,"ENSMUSG00000027312",11990,"protein_coding"
"33","B3galnt1",NA,"ENSMUSG00000043300",26879,"protein_coding"
"34","B3galt1",NA,"ENSMUSG00000034780",26877,"protein_coding"
"35","Bbs4",NA,"ENSMUSG00000025235",102774,"protein_coding"
"36","Bdp1",NA,"ENSMUSG00000049658",544971,"protein_coding"
"37","C2cd2",NA,"ENSMUSG00000045975",207781,"protein_coding"
"38","Cacng7",NA,"ENSMUSG00000069806",81904,"protein_coding"
"39","Cadm3",NA,"ENSMUSG00000005338",94332,"protein_coding"
"40","Camk1d",NA,"ENSMUSG00000039145",227541,"protein_coding"
"41","Camsap2",NA,"ENSMUSG00000041570",67886,"protein_coding"
"42","Car12",NA,"ENSMUSG00000032373",76459,"protein_coding"
"43","Caskin1",NA,"ENSMUSG00000033597",268932,"protein_coding"
"44","Casp9",NA,"ENSMUSG00000028914",12371,"protein_coding"
"45","Cblb",NA,"ENSMUSG00000022637",208650,"protein_coding"
"46","Cbx5",NA,"ENSMUSG00000009575",12419,"protein_coding"
"47","Cckbr",NA,"ENSMUSG00000030898",12426,"protein_coding"
"48","Ccnt2",NA,"ENSMUSG00000026349",72949,"protein_coding"
"49","Cd99l2",NA,"ENSMUSG00000035776",171486,"protein_coding"
"50","Cdc42bpa",NA,"ENSMUSG00000026490",226751,"protein_coding"
"51","Cdkn1b",NA,"ENSMUSG00000003031",12576,"protein_coding"
"52","Celf1",NA,"ENSMUSG00000005506",13046,"protein_coding"
"53","Cep120",NA,"ENSMUSG00000048799",225523,"protein_coding"
"54","Clasp2",NA,"ENSMUSG00000033392",76499,"protein_coding"
"55","Cpeb3",NA,"ENSMUSG00000039652",208922,"protein_coding"
"56","Cyb5b",NA,"ENSMUSG00000031924",66427,"protein_coding"
"57","Daam1",NA,"ENSMUSG00000034574",208846,"protein_coding"
"58","Dag1",NA,"ENSMUSG00000039952",13138,"protein_coding"
"59","Dbn1",NA,"ENSMUSG00000034675",56320,"protein_coding"
"60","Ddn",NA,"ENSMUSG00000059213",13199,"protein_coding"
"61","Ddx17",NA,"ENSMUSG00000055065",67040,"protein_coding"
"62","Dennd6a",NA,"ENSMUSG00000040818",211922,"protein_coding"
"63","Derl2",NA,"ENSMUSG00000018442",116891,"protein_coding"
"64","Dgcr8",NA,"ENSMUSG00000022718",94223,"protein_coding"
"65","Dnajc6",NA,"ENSMUSG00000028528",72685,"protein_coding"
"66","Dnajc9",NA,"ENSMUSG00000021811",108671,"protein_coding"
"67","Dnm3",NA,"ENSMUSG00000040265",103967,"protein_coding"
"68","Dock1",NA,"ENSMUSG00000058325",330662,"protein_coding"
"69","Draxin",NA,"ENSMUSG00000029005",70433,"protein_coding"
"70","Dusp11",NA,"ENSMUSG00000030002",72102,"protein_coding"
"71","Dusp8",NA,"ENSMUSG00000037887",18218,"protein_coding"
"72","Eml6",NA,"ENSMUSG00000044072",237711,"protein_coding"
"73","Enc1",NA,"ENSMUSG00000041773",13803,"protein_coding"
"74","Enpp1",NA,"ENSMUSG00000037370",18605,"protein_coding"
"75","Epdr1",NA,"ENSMUSG00000002808",105298,"protein_coding"
"76","Eps15",NA,"ENSMUSG00000028552",13858,"protein_coding"
"77","Ercc3",NA,"ENSMUSG00000024382",13872,"protein_coding"
"78","Ets1",NA,"ENSMUSG00000032035",23871,"protein_coding"
"79","Eva1a",NA,"ENSMUSG00000035104",232146,"protein_coding"
"80","Extl2",NA,"ENSMUSG00000027963",58193,"protein_coding"
"81","F11r",NA,"ENSMUSG00000038235",16456,"protein_coding"
"82","F2r",NA,"ENSMUSG00000048376",14062,"protein_coding"
"83","F3",NA,"ENSMUSG00000028128",14066,"protein_coding"
"84","Fam13a",NA,"ENSMUSG00000037709",58909,"protein_coding"
"85","Fam57a",NA,NA,NA,NA
"86","Fam73b",NA,NA,NA,NA
"87","Fam78b",NA,"ENSMUSG00000060568",226610,"protein_coding"
"88","Fbxl20",NA,"ENSMUSG00000020883",72194,"protein_coding"
"89","Fbxw7",NA,"ENSMUSG00000028086",50754,"protein_coding"
"90","Fmn1",NA,"ENSMUSG00000044042",14260,"protein_coding"
"91","Fmnl2",NA,"ENSMUSG00000036053",71409,"protein_coding"
"92","Fnip2",NA,"ENSMUSG00000061175",329679,"protein_coding"
"93","Foxo3",NA,"ENSMUSG00000048756",56484,"protein_coding"
"94","Foxp1",NA,"ENSMUSG00000030067",108655,"protein_coding"
"95","Fut9",NA,"ENSMUSG00000055373",14348,"protein_coding"
"96","Gabra6",NA,"ENSMUSG00000020428",14399,"protein_coding"
"97","Gabrg1",NA,"ENSMUSG00000001260",14405,"protein_coding"
"98","Gcc2",NA,"ENSMUSG00000038039",70297,"protein_coding"
"99","Glcci1",NA,"ENSMUSG00000029638",170772,"protein_coding"
"100","Gm16515",NA,NA,NA,NA
"101","Gnpda1",NA,"ENSMUSG00000052102",26384,"protein_coding"
"102","Gnptg",NA,"ENSMUSG00000035521",214505,"protein_coding"
"103","Golga1",NA,"ENSMUSG00000026754",76899,"protein_coding"
"104","Golgb1",NA,"ENSMUSG00000034243",224139,"protein_coding"
"105","Gopc",NA,"ENSMUSG00000019861",94221,"protein_coding"
"106","Gpatch2",NA,"ENSMUSG00000039210",67769,"protein_coding"
"107","Gpbp1",NA,"ENSMUSG00000032745",73274,"protein_coding"
"108","Gpr158",NA,"ENSMUSG00000045967",241263,"protein_coding"
"109","Gprc5b",NA,"ENSMUSG00000008734",64297,"protein_coding"
"110","Gria2",NA,"ENSMUSG00000033981",14800,"protein_coding"
"111","Gria3",NA,"ENSMUSG00000001986",53623,"protein_coding"
"112","Grin2b",NA,"ENSMUSG00000030209",14812,"protein_coding"
"113","Grm7",NA,"ENSMUSG00000056755",108073,"protein_coding"
"114","Gzmb",NA,"ENSMUSG00000015437",14939,"protein_coding"
"115","Hlcs",NA,"ENSMUSG00000040820",110948,"protein_coding"
"116","Hlf",NA,"ENSMUSG00000003949",217082,"protein_coding"
"117","Hpcal4",NA,"ENSMUSG00000046093",170638,"protein_coding"
"118","Igf1r",NA,"ENSMUSG00000005533",16001,"protein_coding"
"119","Il17rd",NA,"ENSMUSG00000040717",171463,"protein_coding"
"120","Il6",NA,"ENSMUSG00000025746",16193,"protein_coding"
"121","Ino80d",NA,"ENSMUSG00000040865",227195,"protein_coding"
"122","Inpp5f",NA,"ENSMUSG00000042105",101490,"protein_coding"
"123","Itgb1",NA,"ENSMUSG00000025809",16412,"protein_coding"
"124","Jmjd1c",NA,"ENSMUSG00000037876",108829,"protein_coding"
"125","Jph3",NA,"ENSMUSG00000025318",57340,"protein_coding"
"126","Kat6a",NA,"ENSMUSG00000031540",244349,"protein_coding"
"127","Kbtbd2",NA,"ENSMUSG00000059486",210973,"protein_coding"
"128","Kcnj10",NA,"ENSMUSG00000044708",16513,"protein_coding"
"129","Kcnj3",NA,"ENSMUSG00000026824",16519,"protein_coding"
"130","Kidins220",NA,"ENSMUSG00000036333",77480,"protein_coding"
"131","Kif1b",NA,"ENSMUSG00000063077",16561,"protein_coding"
"132","Klf12",NA,"ENSMUSG00000072294",16597,"protein_coding"
"133","Klhl5",NA,"ENSMUSG00000054920",71778,"protein_coding"
"134","Kmt2a",NA,"ENSMUSG00000002028",214162,"protein_coding"
"135","Kpna1",NA,"ENSMUSG00000022905",16646,"protein_coding"
"136","Kras",NA,"ENSMUSG00000030265",16653,"protein_coding"
"137","KRT3",NA,NA,NA,NA
"138","Ksr2",NA,"ENSMUSG00000061578",333050,"protein_coding"
"139","Ktn1",NA,"ENSMUSG00000021843",16709,"protein_coding"
"140","L3mbtl2",NA,"ENSMUSG00000022394",214669,"protein_coding"
"141","Ldlr",NA,"ENSMUSG00000032193",16835,"protein_coding"
"142","Lgi2",NA,"ENSMUSG00000039252",246316,"protein_coding"
"143","Lif",NA,"ENSMUSG00000034394",16878,"protein_coding"
"144","Lonrf2",NA,"ENSMUSG00000048814",381338,"protein_coding"
"145","Lonrf3",NA,"ENSMUSG00000016239",74365,"protein_coding"
"146","Lrrc55",NA,"ENSMUSG00000075224",NA,"protein_coding"
"147","Lsamp",NA,"ENSMUSG00000061080",268890,"protein_coding"
"148","Luzp1",NA,"ENSMUSG00000001089",269593,"protein_coding"
"149","Luzp2",NA,"ENSMUSG00000063297",233271,"protein_coding"
"150","Macf1",NA,"ENSMUSG00000028649",11426,"protein_coding"
"151","Map1b",NA,"ENSMUSG00000052727",17755,"protein_coding"
"152","Mapk10",NA,"ENSMUSG00000046709",26414,"protein_coding"
"153","March8",NA,NA,NA,NA
"154","Mb21d2",NA,"ENSMUSG00000051065",239796,"protein_coding"
"155","Mbnl1",NA,"ENSMUSG00000027763",56758,"protein_coding"
"156","Mdga2",NA,"ENSMUSG00000034912",320772,"protein_coding"
"157","Mecp2",NA,"ENSMUSG00000031393",17257,"protein_coding"
"158","Mef2c",NA,"ENSMUSG00000005583",17260,"protein_coding"
"159","Mfhas1",NA,"ENSMUSG00000070056",52065,"protein_coding"
"160","Mga",NA,"ENSMUSG00000033943",29808,"protein_coding"
"161","Mical3",NA,"ENSMUSG00000051586",194401,"protein_coding"
"162","Mlc1",NA,"ENSMUSG00000035805",170790,"protein_coding"
"163","Mllt6",NA,"ENSMUSG00000038437",246198,"protein_coding"
"164","Mob1a",NA,"ENSMUSG00000043131",232157,"protein_coding"
"165","Mt2",NA,"ENSMUSG00000031762",17750,"protein_coding"
